content,description,type
TRAN,TRAN transaction,keyword
TRANSACTION,TRANSACTION,keyword
TRIGGER,TRIGGER,keyword
TRUNCATE,TRUNCATE statement,keyword
TRY_CONVERT,TRY_CONVERT function,keyword
TSEQUAL,TSEQUAL function,keyword
UNION,UNION operator,keyword
UNIQUE,UNIQUE constraint,keyword
UNPIVOT,UNPIVOT operator,keyword
UPDATE,UPDATE statement,keyword
UPDATETEXT,UPDATETEXT statement,keyword
USE,USE statement,keyword
USER,USER,keyword
VALUES,VALUES clause,keyword
VARYING,VARYING modifier,keyword
VIEW,VIEW,keyword
WAITFOR,WAITFOR statement,keyword
WHEN,WHEN clause,keyword
WHERE,WHERE clause,keyword
WHILE,WHILE statement,keyword
WITH,WITH clause,keyword
WITHIN,WITHIN clause,keyword
WRITETEXT,WRITETEXT statement,keyword
